NUMBER	ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
416	ring..on.finger	ring (on finger)	1374	RING
417	ripe:to.be	to be ripe	178	RIPE
418	river	river	666	RIVER
419	roll.down:to	to roll down	827	ROLL
420	roll.up..mat:to	to roll up (mat)	–	–
421	roof..of.building	roof (of building)	769	ROOF
422	root..general	root (general)	–	–
423	rope	rope	1218	ROPE
424	rosa.chinensis..china.rose:::	Rosa chinensis (china rose)	–	–
425	rotten:to.be	to be rotten	1728	ROTTEN
426	rough:to.be	to be rough	1923	ROUGH
427	round:to.be	to be round	1395	ROUND
428	rub:to	to rub	1449	RUB
429	saliva	saliva	1503	SALIVA
430	salt	salt	1274	SALT
431	sand	sand	671	SAND
432	sarong.:longyi	longyi	–	–
433	scent..fragrance	scent (fragrance)	–	–
434	scorpion	scorpion	1538	SCORPION
435	scrape..with.edge:to	to scrape (with edge)	1767	SCRAPE
436	sea	sea	1474	SEA
437	see:to	to see	1409	SEE
438	seed	seed	714	SEED
439	sell:to	to sell	1571	SELL
440	sew:to	to sew	1457	SEW
441	shadow..of.something	shadow (of something)	2275	SHADOW
442	shallow:to.be	to be shallow	193	SHALLOW
443	sharp..of.edge:to.be	to be sharp (of edge)	1396	SHARP
444	sheep	sheep	1331	SHEEP
445	short..length:to.be	to be short (length)	1645	SHORT
446	show..display:to	to show (display)	1039	SHOW
447	shy:to.be	to be shy	487	SHY
448	silver	silver	759	SILVER
449	sing:to	to sing	1261	SING
450	sink:to	to sink	1088	SINK (DESCEND)
451	sister:elder	elder sister	1758	OLDER SISTER
452	sister:younger	younger sister	1761	YOUNGER SISTER
453	sit:to	to sit	1416	SIT
454	skin	skin	763	SKIN
455	sky	sky	1732	SKY
456	sleep:to	to sleep	1585	SLEEP
457	slow:to.be	to be slow	701	SLOW
458	small:to.be	to be small	1246	SMALL
459	smell.bad:to	to smell bad	–	–
460	smell.good..fragrant:to	to smell good (fragrant)	–	–
461	smile:to	to smile	1451	SMILE
462	smoke	smoke	778	SMOKE (EXHAUST)
463	smooth:to.be	to be smooth	1234	SMOOTH
464	snail	snail	1543	SNAIL
465	snake	snake	730	SNAKE
466	sneeze:to	to sneeze	1621	SNEEZE
467	snore:to	to snore	1983	SNORE
468	soft:to.be	to be soft	1856	SOFT
469	soil	soil	1228	EARTH (SOIL)
470	son	son	1620	SON
471	son.in.law	son in law	1056	SON-IN-LAW
472	sour:to.be	to be sour	1906	SOUR
473	south	south	1595	SOUTH
474	speak:to	to speak	1623	SPEAK
475	spicy..of.chilis	spicy (of chilis)	544	SPICY
476	spider	spider	843	SPIDER
477	spider::web	spiderweb	1065	SPIDER WEB
478	spoon..utensil	spoon (utensil)	1378	SPOON
479	squeeze:to	to squeeze	1414	SQUEEZE
480	squirrel..general	squirrel (general)	1628	SQUIRREL
481	stand..remain.standing:to	to stand (remain standing)	1442	STAND
482	star	star	1430	STAR
483	steal:to	to steal	713	STEAL
484	step:to	to step	2065	STEP (VERB)
485	stick..branch	stick (branch)	1295	STICK
486	sting..of.bee:to	to sting (of bee)	571	STING
487	stone	stone	857	STONE
488	straight:to.be	to be straight	1404	STRAIGHT
489	stream	stream	947	STREAM
490	strong:to.be	to be strong	785	STRONG
491	suck:to	to suck	1421	SUCK
492	summer..warm.season	summer (warm season)	–	–
493	sun	sun	1343	SUN
494	sun::shine	sunshine	3276	SUNSHINE
495	swallow:to	to swallow	897	SWALLOW
496	sweat:to	to sweat	126	SWEAT (PERSPIRE)
497	sweet:to.be	to be sweet	717	SWEET
498	swell:to	to swell	1573	SWELL
499	swim:to	to swim	1439	SWIM
500	tail	tail	1220	TAIL
501	take:to	to take	1749	TAKE
502	tall:to.be	to be tall	711	TALL
503	tea	tea	1373	TEA
504	tear..from.eye	tear (from eye)	–	–
505	tear:to	to tear	–	–
506	tell:to	to tell	1711	TELL
507	testicle	testicle	797	TESTICLES
508	that...dist.dem	that	4	THAT
509	thick..of.material:to.be	to be thick (of material)	1244	THICK
510	thin..not.thick:to.be	to be thin (not thick)	2306	THIN (OF LEAF AND CLOTH)
511	think:to	to think	2271	THINK
512	thirsty:to.be	to be thirsty	3474	BE THIRSTY
513	this...prox.dem	this	1214	THIS
514	thorn	thorn	124	THORN
515	thread..string	thread (string)	1161	THREAD
516	throat	throat	1346	THROAT
517	throw:to	to throw	1456	THROW
518	thunder	thunder	1150	THUNDER
519	tie:to	to tie	1917	TIE
520	tiger	tiger	846	TIGER
521	tight..of.rope:to.be	to be tight (of rope)	3053	TIGHT
522	tired..fatigued:to.be	to be tired (fatigued)	1757	TIRED
523	tobacco	tobacco	974	TOBACCO
524	today	today	1283	TODAY
525	toe	toe	1389	TOE
526	tomorrow	tomorrow	1329	TOMORROW
527	tongs..general	tongs (general)	272	TONGS
528	tongue	tongue	1205	TONGUE
529	tooth	tooth	1380	TOOTH
530	trap..snare	trap (snare)	3320	SNARE (TRAP)
531	tree	tree	906	TREE
532	tree.:branch	branch	1531	BRANCH
533	tree::bark	treebark	1204	BARK
534	trousers	trousers	809	TROUSERS
535	true:to.be	to be true	1657	TRUE
536	turmeric	turmeric	2842	TURMERIC
537	turtle..tortoise	turtle (tortoise)	112	TURTLE
538	unbroken:to.be	to be unbroken	–	–
539	understand:to	to understand	–	–
540	unripe:to.be	to be unripe	1958	UNRIPE
541	urine	urine	1142	URINE
542	vagina	vagina	1836	VAGINA
543	valley	valley	921	VALLEY
544	venom	venom	–	–
545	village	village	930	VILLAGE
546	vine..creeper	vine (creeper)	343	VINE
547	vomit:to	to vomit	1278	VOMIT
548	vulture	vulture	1185	VULTURE
549	waist	waist	1681	WAIST
550	wait:to	to wait	1590	WAIT (FOR)
551	walk:to	to walk	1443	WALK
552	wall	wall	3830	WALL
553	warm:to.be	to be warm	1232	WARM
554	wash..general:to	to wash (general)	1453	WASH
555	wash.:bathe:to	to bathe	138	BATHE
556	water	water	948	WATER
557	water.container	water container	–	–
558	weak:to.be	to be weak	1601	WEAK
559	weave.fabric:to	to weave fabric	133	WEAVE
560	weep..cry:to	to weep (cry)	1839	CRY
561	well..water.source	well (water source)	954	WELL
562	west	west	1817	WEST
563	wet:to.be	to be wet	1726	WET
564	wheat	wheat	1077	WHEAT
565	wide..broad	wide (broad)	1243	WIDE
566	widow	widow	1756	WIDOW
567	wife	wife	1199	WIFE
568	wild.boar	wild boar	–	–
569	wind	wind	960	WIND
570	wing	wing	1257	WING
571	winnow:to	to winnow	2462	WINNOWING
572	winter..cold.season	winter (cold season)	1471	WINTER
573	wipe:to	to wipe	1454	WIPE
574	woman..female.human	woman (female human)	962	WOMAN
575	wood	wood	1803	WOOD
576	word	word	1599	WORD
577	work:to	to work	984	WORK (LABOUR)
578	worm..general	worm (general)	1219	WORM
579	worry:to	to worry	–	–
580	yam	yam	410	YAM
581	yam:elephant.foot	elephant foot yam	–	–
582	yawn:to	to yawn	1028	YAWN
583	year	year	1226	YEAR
584	yesterday	yesterday	1174	YESTERDAY
